query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
356.2036005,HMDB0142448,"(2-{4-[(1E)-1,2-diphenylbuta-1,3-dien-1-yl]phenoxy}ethyl)(methyl)amine",n/a,C25H25NO,355.193614429,M+H,+,356.20089,8
275.0768638,HMDB0153318,"2-(2,4,6-trihydroxyphenoxy)oxane-3,4,5-triol",n/a,C11H14O8,274.068867411,M+H,+,275.076143,3
275.0768638,HMDB0172140,"6-[(furan-2-yl)methoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",n/a,C11H14O8,274.068867411,M+H,+,275.076143,3
200.1630944,HMDB0062669,11-nitro-1-undecene,n/a,C11H21NO2,199.15722892,M+H,+,200.164505,7
200.1630944,HMDB0013162,2-Hexenoylcholine,n/a,C11H22NO2,200.165053953,M+H,+,200.165054,10
957.9266936,HMDB0046993,TG(22:0/O-18:0/20:2n6),n/a,C63H120O5,956.913576964,M+H,+,957.920853,6
957.9266936,HMDB0051611,TG(22:1(13Z)/20:1(11Z)/O-18:0),n/a,C63H120O5,956.913576964,M+H,+,957.920853,6
957.9266936,HMDB0052076,TG(24:1(15Z)/18:1(11Z)/O-18:0),n/a,C63H120O5,956.913576964,M+H,+,957.920853,6
957.9266936,HMDB0046705,TG(22:0/20:2n6/O-18:0),n/a,C63H120O5,956.913576964,M+H,+,957.920853,6
957.9266936,HMDB0053341,TG(20:2n6/22:0/O-18:0),n/a,C63H120O5,956.913576964,M+H,+,957.920853,6
957.9266936,HMDB0050853,TG(20:1(11Z)/O-18:0/22:1(13Z)),n/a,C63H120O5,956.913576964,M+H,+,957.920853,6
957.9266936,HMDB0046022,"TG(20:0/22:2(13Z,16Z)/O-18:0)",n/a,C63H120O5,956.913576964,M+H,+,957.920853,6
957.9266936,HMDB0046247,"TG(20:0/O-18:0/22:2(13Z,16Z))",n/a,C63H120O5,956.913576964,M+H,+,957.920853,6
957.9266936,HMDB0050565,TG(20:1(11Z)/22:1(13Z)/O-18:0),n/a,C63H120O5,956.913576964,M+H,+,957.920853,6
957.9266936,HMDB0052500,"TG(18:2(9Z,12Z)/24:0/O-18:0)",n/a,C63H120O5,956.913576964,M+H,+,957.920853,6
957.9266936,HMDB0049686,TG(18:1(11Z)/O-18:0/24:1(15Z)),n/a,C63H120O5,956.913576964,M+H,+,957.920853,6
957.9266936,HMDB0050285,TG(18:1(9Z)/O-18:0/24:1(15Z)),n/a,C63H120O5,956.913576964,M+H,+,957.920853,6
957.9266936,HMDB0050000,TG(18:1(9Z)/24:1(15Z)/O-18:0),n/a,C63H120O5,956.913576964,M+H,+,957.920853,6
957.9266936,HMDB0054390,"TG(22:2(13Z,16Z)/20:0/O-18:0)",n/a,C63H120O5,956.913576964,M+H,+,957.920853,6
957.9266936,HMDB0052092,TG(24:1(15Z)/18:1(9Z)/O-18:0),n/a,C63H120O5,956.913576964,M+H,+,957.920853,6
957.9266936,HMDB0047710,"TG(24:0/O-18:0/18:2(9Z,12Z))",n/a,C63H120O5,956.913576964,M+H,+,957.920853,6
957.9266936,HMDB0047388,"TG(24:0/18:2(9Z,12Z)/O-18:0)",n/a,C63H120O5,956.913576964,M+H,+,957.920853,6
957.9266936,HMDB0049386,TG(18:1(11Z)/24:1(15Z)/O-18:0),n/a,C63H120O5,956.913576964,M+H,+,957.920853,6
415.3900413,HMDB0160830,"(2S,15R)-14-(5-ethyl-6-methylheptan-2-yl)-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-7-ylium-5-olate",n/a,C29H50O,414.38616623,M+H,+,415.393442,8
415.3900413,HMDB0159495,"(2S,15R)-14-(5-ethyl-6-methylheptan-2-yl)-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-5-one",n/a,C29H50O,414.38616623,M+H,+,415.393442,8
415.3900413,HMDB0039444,24alpha-Methyllophenol,n/a,C29H50O,414.386166222,M+H,+,415.393442,8
