query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
515.2993436,HMDB0035627,Ganoderic acid C1,n/a,C30H42O7,514.293053698,M+H,+,515.30033,2
515.2993436,HMDB0036403,7-Epizucchini factor A,n/a,C30H42O7,514.293053698,M+H,+,515.30033,2
515.2993436,HMDB0035381,Ganoderenic acid A,n/a,C30H42O7,514.293053698,M+H,+,515.30033,2
515.2993436,HMDB0039649,Ganoderic acid V1,n/a,C30H42O7,514.293053698,M+H,+,515.30033,2
515.2993436,HMDB0039641,"11,12,13-Trinor-1,3,5-bisabolatrien-10-oic acid",n/a,C30H42O7,514.293053698,M+H,+,515.30033,2
515.2993436,HMDB0036308,Ganoderic acid xi,n/a,C30H42O7,514.293053698,M+H,+,515.30033,2
515.2993436,HMDB0035709,Ganoderenic acid B,n/a,C30H42O7,514.293053698,M+H,+,515.30033,2
515.2993436,HMDB0160925,"[(2S,15S)-5,16-dihydroxy-14-(6-hydroxy-6-methylhept-1-en-2-yl)-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-9-yl]oxidanesulfonic acid",n/a,C27H46O7S,514.296424995,M+H,+,515.303701,8
515.2993436,HMDB0160924,"[(2S,15S)-9,16-dihydroxy-14-(6-hydroxy-6-methylhept-1-en-2-yl)-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-5-yl]oxidanesulfonic acid",n/a,C27H46O7S,514.296424995,M+H,+,515.303701,8
515.2993436,HMDB0160875,"[(2S,15R)-5-hydroxy-14-(6-hydroxy-6-methylheptan-2-yl)-2,15-dimethyl-9-oxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-16-yl]oxidanesulfonic acid",n/a,C27H46O7S,514.296424995,M+H,+,515.303701,8
515.2993436,HMDB0160874,"[(2S,15R)-16-hydroxy-14-(6-hydroxy-6-methylheptan-2-yl)-2,15-dimethyl-9-oxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-5-yl]oxidanesulfonic acid",n/a,C27H46O7S,514.296424995,M+H,+,515.303701,8
515.2993436,HMDB0160872,"[(2S,15R)-9-hydroxy-14-(6-hydroxy-6-methylheptan-2-yl)-2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-16-yl]oxidanesulfonic acid",n/a,C27H46O7S,514.296424995,M+H,+,515.303701,8
515.2993436,HMDB0160871,"[(2S,15R)-16-hydroxy-14-(6-hydroxy-6-methylheptan-2-yl)-2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-9-yl]oxidanesulfonic acid",n/a,C27H46O7S,514.296424995,M+H,+,515.303701,8
515.2993436,HMDB0160926,"[(2S,15S)-5,9-dihydroxy-14-(6-hydroxy-6-methylhept-1-en-2-yl)-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-16-yl]oxidanesulfonic acid",n/a,C27H46O7S,514.296424995,M+H,+,515.303701,8
224.1623859,HMDB0029875,Tigloidine,C10868,C13H21NO2,223.157228921,M+H,+,224.164505,9
224.1623859,HMDB0030268,Dumetorine,n/a,C13H21NO2,223.157228921,M+H,+,224.164505,9
224.1623859,HMDB0029828,Dihydrodioscorine,n/a,C13H21NO2,223.157228921,M+H,+,224.164505,9
164.070251,HMDB0001424,4-(3-Pyridyl)-3-butenoic acid,n/a,C9H9NO2,163.063328537,M+H,+,164.070605,2
164.070251,HMDB0004186,3-Methyldioxyindole,C05834,C9H9NO2,163.063328537,M+H,+,164.070605,2
164.070251,HMDB0062406,4-oxo-4-(pyridin-3-yl)butanal,C19567,C9H9NO2,163.063328534,M+H,+,164.070605,2
278.2098024,HMDB0005016,Venlafaxine,C07187,C17H27NO2,277.204179113,M+H,+,278.211455,6
278.2098024,HMDB0061166,Venlafaxine,C07187,C17H27NO2,277.204179113,M+H,+,278.211455,6
278.2098024,HMDB0062158,Terbucarb,C19129,C17H27NO2,277.204179113,M+H,+,278.211455,6
127.06243979999999,HMDB0003192,5-Aminoimidazole-4-carboxamide,C04051,C4H6N4O,126.054160834,M+H,+,127.061437,8
