query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
187.1236078,HMDB0029836,"1,2,3,4-Tetrahydro-2-methyl-b-carboline",n/a,C12H14N2,186.115698458,M+H,+,187.122974,3
187.1236078,HMDB0041872,Detomidine,C07450,C12H14N2,186.115698458,M+H,+,187.122974,3
187.1236078,HMDB0037144,1-Phenyl-5-propyl-1H-pyrazole,n/a,C12H14N2,186.115698458,M+H,+,187.122974,3
187.1236078,HMDB0168636,"2-(3-methylbut-3-en-1-yl)-1H-pyrrolo[2,3-b]pyridine",n/a,C12H14N2,186.115698459,M+H,+,187.122974,3
329.1756949,HMDB0138158,6-hydroxy-7-(4-hydroxyphenyl)-5-methoxy-1-phenylheptan-3-one,n/a,C20H24O4,328.167459253,M+H,+,329.174735,3
329.1756949,HMDB0138159,1-hydroxy-7-(4-hydroxyphenyl)-5-methoxy-1-phenylheptan-3-one,n/a,C20H24O4,328.167459253,M+H,+,329.174735,3
329.1756949,HMDB0138160,7-hydroxy-7-(4-hydroxyphenyl)-5-methoxy-1-phenylheptan-3-one,n/a,C20H24O4,328.167459253,M+H,+,329.174735,3
329.1756949,HMDB0138162,"1,7-bis(4-hydroxyphenyl)-5-methoxyheptan-3-one",n/a,C20H24O4,328.167459253,M+H,+,329.174735,3
329.1756949,HMDB0138161,1-(3-hydroxyphenyl)-7-(4-hydroxyphenyl)-5-methoxyheptan-3-one,n/a,C20H24O4,328.167459253,M+H,+,329.174735,3
329.1756949,HMDB0138163,"7-(3,4-dihydroxyphenyl)-5-methoxy-1-phenylheptan-3-one",n/a,C20H24O4,328.167459253,M+H,+,329.174735,3
329.1756949,HMDB0138164,2-hydroxy-7-(4-hydroxyphenyl)-5-methoxy-1-phenylheptan-3-one,n/a,C20H24O4,328.167459253,M+H,+,329.174735,3
329.1756949,HMDB0138166,1-(2-hydroxyphenyl)-7-(4-hydroxyphenyl)-5-methoxyheptan-3-one,n/a,C20H24O4,328.167459253,M+H,+,329.174735,3
