query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
342.0644631,HMDB0145651,"({2,9-dimethyl-7-oxo-7H-furo[3,2-g]chromen-5-yl}methoxy)sulfonic acid",n/a,C14H12O7S,324.0303739,M+NH4,+,342.064197,1
342.0644631,HMDB0145649,"({2,5-dimethyl-7-oxo-7H-furo[3,2-g]chromen-9-yl}methoxy)sulfonic acid",n/a,C14H12O7S,324.0303739,M+NH4,+,342.064197,1
342.0644631,HMDB0145653,"({5,9-dimethyl-7-oxo-7H-furo[3,2-g]chromen-2-yl}methoxy)sulfonic acid",n/a,C14H12O7S,324.0303739,M+NH4,+,342.064197,1
342.0644631,HMDB0148549,"{5-[2-(3,5-dihydroxyphenyl)ethenyl]-2-hydroxyphenyl}oxidanesulfonic acid",n/a,C14H12O7S,324.0303739,M+NH4,+,342.064197,1
342.0644631,HMDB0148555,"{4-[2-(2,3,5-trihydroxyphenyl)ethenyl]phenyl}oxidanesulfonic acid",n/a,C14H12O7S,324.0303739,M+NH4,+,342.064197,1
342.0644631,HMDB0148561,"{4-[2-(3,4,5-trihydroxyphenyl)ethenyl]phenyl}oxidanesulfonic acid",n/a,C14H12O7S,324.0303739,M+NH4,+,342.064197,1
342.0644631,HMDB0148560,"{2,6-dihydroxy-4-[2-(4-hydroxyphenyl)ethenyl]phenyl}oxidanesulfonic acid",n/a,C14H12O7S,324.0303739,M+NH4,+,342.064197,1
342.0644631,HMDB0148790,{4-[(E)-2-(4-methoxy-2-oxo-2H-pyran-6-yl)ethenyl]phenyl}oxidanesulfonic acid,n/a,C14H12O7S,324.0303739,M+NH4,+,342.064197,1
342.0644631,HMDB0149011,"({8-methyl-2-oxo-2H,8H-pyrano[2,3-h]chromen-8-yl}methoxy)sulfonic acid",n/a,C14H12O7S,324.0303739,M+NH4,+,342.064197,1
342.0644631,HMDB0128535,"{4-[3-(3,5-dihydroxyphenyl)oxiran-2-yl]phenyl}oxidanesulfonic acid",n/a,C14H12O7S,324.0303739,M+NH4,+,342.064197,1
