query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
386.2880014,HMDB0013330,3-Hydroxy-cis-5-tetradecenoylcarnitine,n/a,C21H39NO5,385.28282336,M+H,+,386.290099,5
447.3426213,HMDB0173066,"14-(3,4-dihydroxy-6-methyl-5-methylideneheptan-2-yl)-5-hydroxy-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-4-one",n/a,C28H46O4,446.339609961,M+H,+,447.346886,10
447.3426213,HMDB0173067,"14-(3,4-dihydroxy-6-methyl-5-methylideneheptan-2-yl)-4-hydroxy-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-5-one",n/a,C28H46O4,446.339609961,M+H,+,447.346886,10
447.3426213,HMDB0012557,13'-Carboxy-gamma-tocopherol,n/a,C28H46O4,446.33960996,M+H,+,447.346886,10
447.3426213,HMDB0032875,"3,5,9-Trihydroxyergost-7-en-6-one",n/a,C28H46O4,446.33960996,M+H,+,447.346886,10
447.3426213,HMDB0032123,Quillaic acid 3-[galactosyl-(1->2)-[xylosyl-(1->3)]-glucuronide] 28-[apiosyl-(1->3)-xylosyl-(1->4)-rhamnosyl-(1->2)-[rhamnosyl-(1->3)]-4-acetyl-fucosyl] ester,n/a,C28H46O4,446.33960996,M+H,+,447.346886,10
447.3426213,HMDB0032107,"(3beta,5alpha,6beta,7alpha,22E,24R)-Ergosta-8,22-diene-3,5,6,7-tetrol",n/a,C28H46O4,446.33960996,M+H,+,447.346886,10
447.3426213,HMDB0040999,Secasterone,n/a,C28H46O4,446.33960996,M+H,+,447.346886,10
447.3426213,HMDB0041527,3-Dehydroteasterone,n/a,C28H46O4,446.33960996,M+H,+,447.346886,10
362.2067745,HMDB0155048,"[(1S,2R,10S,11S,14S,15S)-14-hydroxy-14-(2-hydroxyacetyl)-2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadec-6-en-17-yl]oxidanyl",n/a,C21H29O5,361.201499034,M+H,+,362.208775,6
362.2067745,HMDB0156891,"[(1S,2R,10S,11S,15R)-14-(2-hydroxyacetyl)-15-(hydroxymethyl)-2-methyl-5-oxotetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadec-6-en-17-yl]oxidanyl",n/a,C21H29O5,361.201499034,M+H,+,362.208775,6
302.2320791,HMDB0006320,"2,6 Dimethylheptanoyl carnitine",n/a,C16H31NO4,301.225308485,M+H,+,302.232584,2
302.2320791,HMDB0013288,Nonanoylcarnitine,n/a,C16H31NO4,301.225308485,M+H,+,302.232584,2
200.1638772,HMDB0062669,11-nitro-1-undecene,n/a,C11H21NO2,199.15722892,M+H,+,200.164505,3
200.1638772,HMDB0013162,2-Hexenoylcholine,n/a,C11H22NO2,200.165053953,M+H,+,200.165054,6
318.2239681,HMDB0015223,Butenafine,C08067,C23H27N,317.214349869,M+H,+,318.221626,7
476.2502035,HMDB0015590,Fluspirilene,n/a,C29H31F2N3O,475.243519039,M+H,+,476.250795,1
1119.542371,HMDB0037915,Tragopogonsaponin D,n/a,C57H82O22,1118.529774308,M+H,+,1119.53705,5
525.295153,HMDB0127524,"11-[(2R,3S)-3-[2-amino-3-methyl-4-(2-methyl-1,3-thiazol-4-yl)but-3-en-1-yl]-2-methyloxiran-2-yl]-3,7-dihydroxy-4,4,6,8-tetramethyl-5-oxoundecanoic acid",n/a,C27H44N2O6S,524.292008319,M+H,+,525.299284,8
525.295153,HMDB0170667,"{5',7,9,13-tetramethyl-1'-nitroso-5-oxaspiro[pentacyclo[10.8.0.0²,⁹.0⁴,⁸.0¹³,¹⁸]icosane-6,2'-piperidine]-16-yl}oxidanesulfonic acid",n/a,C27H44N2O6S,524.292008319,M+H,+,525.299284,8
