"m/z","C","C","C","C","C","AVG","DM1","DM1","DM1","DM1","DM1","AVG","DM1+I","DM1+I","DM1+I","DM1+I","DM1+I","AVG"
"201.0081873","12044.1702","29598.11352","9071.467353","10403.93157","9929.681117","14209.472752000001","9309.736857","12175.44279","10791.75436","9072.09326","8438.603544","9957.5261622","12756.18656","13969.74702","11603.50101","17606.63747","10151.80157","13217.574726"
"831.0703925","14311.25919","30279.67728","11884.26238","16686.45371","20454.20113","18723.170738","10198.58469","4183.496937","9723.933846","14157.40681","9729.718614","9598.628179399999","17855.52722","22247.06618","17086.00316","20902.9063","20194.68465","19657.237501999996"
"609.0858056","210688.2192","86295.53389","44341.59123","49134.5724","58388.24351","89769.63204600001","46949.61913","23332.53556","37341.21878","45073.41353","36990.23574","37937.404548","56197.06027","63979.93501","53751.95243","62699.59217","56546.64596","58635.037167999995"
"617.5983141","5773.610898","9555.013163","5439.835905","6680.538624","7865.958605","7062.991438999999","4758.048794","1703.639667","4840.943655","6077.973277","4587.714579","4393.6639944","8259.299834","8808.967658","8152.084244","9587.278432","7989.709824","8559.4679984"
"564.0466804","18629.90455","25841.03813","15899.34669","16515.98465","17278.6066","18832.976124","25037.26632","30851.12712","29637.71538","22148.51392","25100.52388","26555.029323999996","18864.28045","22854.35122","19718.36824","24469.39455","19764.49486","21134.177863999997"
"179.0490121","53459.68029","64798.20948","49769.85038","53081.8671","62454.11071","56712.743592","35242.287","21450.0828","23354.07395","31674.97073","29203.41114","28184.965124000002","56039.22581","69129.75107","52928.24284","59567.97662","57279.89636","58989.01854"
"392.0356309","18317.81503","19539.19335","14519.06734","14785.22654","14909.70501","16414.201454000002","10946.83988","14999.82226","12201.16029","10558.09826","10688.13541","11878.81122","14799.6961","16130.05797","13482.60937","13580.64338","13395.76498","14277.75436"
"682.1936769","31181.28039","44743.80271","25452.25871","33894.64198","36846.83269","34423.763296000005","21992.38506","18621.78747","26292.52541","32504.18937","30580.82159","25998.34178","41195.75989","46310.97851","39447.69525","46919.08141","43165.75739","43407.85449"
"223.0588089","1719.717092","1661.007322","1780.611158","3163.07606","3272.477468","2319.37782","3489.572428","3202.034135","3493.474542","3785.891082","3799.787625","3554.1519624000002","2631.801501","3142.523023","2712.101171","48155.14962","3287.111538","11985.737370599998"
"653.1091792","5743.562052","7319.440892","3812.442668","9415.533189","19613.51408","9180.8985762","8574.210633","2970.609148","2753.487467","6193.760022","5984.244343","5295.2623226","11075.30431","6880.539846","10949.44937","7775.274082","8136.023333","8963.318188199999"
"425.0306168","8106.358705","13413.79113","5466.492971","9407.765966","11283.76639","9535.6350324","9180.475409","7717.625187","7012.588507","8671.649231","8949.483778","8306.3644224","10577.75631","9777.331923","9864.143044","10230.8311","9721.069175","10034.226310400001"
"236.9930567","13984.79361","25424.21685","10493.27931","15822.92144","21417.49469","17428.54118","14848.08879","10735.88317","9508.124181","12570.09746","11188.53694","11770.1461082","16908.79395","16906.27086","16829.51329","16949.0526","15698.06082","16658.338303999997"
"461.0973113","2962.781263","3253.702611","2655.318522","8238.402169","8218.396337","5065.7201804","5033.401505","2096.805705","3462.122672","7097.556487","5615.364483","4661.0501704","3450.66729","7619.215993","3587.065484","193669.2934","7597.821019","43184.8126372"
"559.0513346","9613.331351","7363.206048","10256.8692","9926.657141","8547.037362","9141.4202204","10997.42111","13224.83838","11499.053","10613.39285","11436.86823","11554.314714","10958.84462","11876.1642","10985.88918","9728.755204","9715.153755","10652.9613918"
"337.0633091","27553.57932","42895.8344","23176.74507","29889.9596","31953.00259","31093.824196","21918.0557","17491.48374","24902.67975","29829.4309","26878.48504","24204.027026000003","35097.04838","42724.26081","34889.22317","41187.38256","37836.24869","38346.83272200001"
"209.0568345","512560.27247","680687.4505700001","567146.99807","549170.9879699999","572765.0973700001","576466.16129","681294.92517","661727.0137700001","644647.0086699999","595184.94447","514259.62947","619422.70431","541303.81577","528019.36467","536591.74227","582442.3207700001","463909.78017","530453.4047300001"
"1331.794019","175029.0391","193765.6828","244916.1738","269352.2876","262029.6789","229018.57243999996","224829.0477","210166.5607","255020.785","270498.5466","266736.4338","245450.27476000003","243406.8301","257528.0852","254112.3121","250555.3978","249811.5078","251082.82659999997"
"319.195186","25249.85778","38944.67127","21680.41531","23562.10634","21620.7987","26211.56988","19539.95885","22107.85551","19994.46912","19470.94349","19264.72212","20075.589818","20832.57872","20783.89584","18402.7823","22102.22596","20305.35564","20485.367692"
"195.1370651","8829.614945","8345.563557","8495.002382","4991.264467","5477.476537","7227.784377600001","5566.093137","5991.669133","5163.840765","5300.631944","5844.943242","5573.435644200001","5461.161862","4410.371554","5357.142933","5449.895383","4665.762931","5068.8669326"
"249.1850213","31899.68518","28730.75851","30911.84849","17480.22101","19444.11634","25693.325906000002","19087.22523","20653.39843","18009.42957","19192.05898","21200.55904","19628.534249999997","20548.43955","14371.39462","19563.72492","19016.0324","16652.98471","18030.51524"
