query_mass,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,delta(ppm)
178.0490121,HMDB0040612,4-Acetyl-2(3H)-benzoxazolone,n/a,C9H7NO3,177.042593095,M+H,+,178.049869,5
178.0490121,HMDB0134932,6-hydroxy-1H-indole-3-carboxylic acid,n/a,C9H7NO3,177.042593089,M+H,+,178.049869,5
178.0490121,HMDB0134933,7-hydroxy-1H-indole-3-carboxylic acid,n/a,C9H7NO3,177.042593089,M+H,+,178.049869,5
178.0490121,HMDB0134934,4-hydroxy-1H-indole-3-carboxylic acid,n/a,C9H7NO3,177.042593089,M+H,+,178.049869,5
178.0490121,HMDB0161248,6-hydroxy-1H-indole-2-carboxylic acid,n/a,C9H7NO3,177.042593089,M+H,+,178.049869,5
178.0490121,HMDB0161250,4-Hydroxy-1H-indole-2-carboxylic acid,n/a,C9H7NO3,177.042593089,M+H,+,178.049869,5
178.0490121,HMDB0161247,21598-06-1,n/a,C9H7NO3,177.042593095,M+H,+,178.049869,5
178.0490121,HMDB0134931,5-hydroxy-1H-indole-3-carboxylic acid,n/a,C9H7NO3,177.042593089,M+H,+,178.049869,5
178.0490121,HMDB0161249,7-Hydroxyindole-2-carboxylic acid,n/a,C9H7NO3,177.042593089,M+H,+,178.049869,5
636.143925,HMDB0060431,"Aflatoxin B1exo-8,9-epoxide-GSH",C11278,C27H29N3O13S,635.142108719,M+H,+,636.149385,9
636.143925,HMDB0142059,"2-amino-4-({1-[(carboxymethyl)-C-hydroxycarbonimidoyl]-2-({5-hydroxy-11-methoxy-16,18-dioxo-6,8,19-trioxapentacyclo[10.7.0.0²,⁹.0³,⁷.0¹³,¹⁷]nonadeca-1(12),2(9),10,13(17)-tetraen-4-yl}sulfanyl)ethyl}-C-hydroxycarbonimidoyl)butanoic acid",n/a,C27H29N3O13S,635.14210918,M+H,+,636.149385,9
636.143925,HMDB0142066,"2-amino-4-({1-[(carboxymethyl)-C-hydroxycarbonimidoyl]-2-{[(3R,7R)-5-hydroxy-11-methoxy-16,18-dioxo-6,8,19-trioxapentacyclo[10.7.0.0²,⁹.0³,⁷.0¹³,¹⁷]nonadeca-1(12),2(9),10,13(17)-tetraen-4-yl]sulfanyl}ethyl}-C-hydroxycarbonimidoyl)butanoic acid",n/a,C27H29N3O13S,635.14210918,M+H,+,636.149385,9
385.0873975,HMDB0167828,1-(3-carboxy-3-{[3-carboxy-3-(sulfooxy)propyl]amino}propyl)azetidine-2-carboxylic acid,n/a,C12H20N2O10S,384.083866026,M+H,+,385.091142,10
385.0873975,HMDB0181339,"{2,3,4-trihydroxy-4-[6-(2,3,4-trihydroxybutyl)pyrazin-2-yl]butoxy}sulfonic acid",n/a,C12H20N2O10S,384.083866026,M+H,+,385.091142,10
385.0873975,HMDB0181340,"{2,3-dihydroxy-4-[6-(1,2,3,4-tetrahydroxybutyl)pyrazin-2-yl]butoxy}sulfonic acid",n/a,C12H20N2O10S,384.083866026,M+H,+,385.091142,10
385.0873975,HMDB0181341,"({1,3,4-trihydroxy-4-[6-(2,3,4-trihydroxybutyl)pyrazin-2-yl]butan-2-yl}oxy)sulfonic acid",n/a,C12H20N2O10S,384.083866026,M+H,+,385.091142,10
385.0873975,HMDB0181343,"{2,3,4-trihydroxy-1-[6-(2,3,4-trihydroxybutyl)pyrazin-2-yl]butoxy}sulfonic acid",n/a,C12H20N2O10S,384.083866026,M+H,+,385.091142,10
385.0873975,HMDB0181342,"({1,3,4-trihydroxy-1-[6-(2,3,4-trihydroxybutyl)pyrazin-2-yl]butan-2-yl}oxy)sulfonic acid",n/a,C12H20N2O10S,384.083866026,M+H,+,385.091142,10
385.0873975,HMDB0181345,"({1,3-dihydroxy-4-[6-(1,2,3,4-tetrahydroxybutyl)pyrazin-2-yl]butan-2-yl}oxy)sulfonic acid",n/a,C12H20N2O10S,384.083866026,M+H,+,385.091142,10
385.0873975,HMDB0181344,"({3,4-dihydroxy-1-[6-(1,2,3,4-tetrahydroxybutyl)pyrazin-2-yl]butan-2-yl}oxy)sulfonic acid",n/a,C12H20N2O10S,384.083866026,M+H,+,385.091142,10
244.0592559,HMDB0062185,1-Alkyl-2-acylglycerophosphoethanolamine,n/a,C6H14NO7P,243.050788793,M+H,+,244.058065,5
275.0697902,HMDB0041120,"4-Phenyl-1H,3H-naphtho[1,8-cd]pyran-1,3-dione",n/a,C18H10O3,274.062994186,M+H,+,275.07027,2
483.118316,HMDB0144156,"(12aS)-7-chloro-4-(dimethylamino)-4,6,10,12,12a-pentahydroxy-1,3,11-trioxo-1,2,3,4,4a,5,5a,6,11,11a,12,12a-dodecahydrotetracene-2-carboximidic acid",n/a,C21H23ClN2O9,482.109208,M+H,+,483.116484,4
483.118316,HMDB0144164,"(12aR)-7-chloro-4-(dimethylamino)-3,6,9,10,12a-pentahydroxy-1,11,12-trioxo-1,2,3,4,4a,5,5a,6,11,11a,12,12a-dodecahydrotetracene-2-carboximidic acid",n/a,C21H23ClN2O9,482.109208,M+H,+,483.116484,4
483.118316,HMDB0144166,"(12aS)-7-chloro-4-(dimethylamino)-6,9,10,12,12a-pentahydroxy-1,3,11-trioxo-1,2,3,4,4a,5,5a,6,11,11a,12,12a-dodecahydrotetracene-2-carboximidic acid",n/a,C21H23ClN2O9,482.109208,M+H,+,483.116484,4
483.118316,HMDB0144174,"(12aR)-7-chloro-4-(dimethylamino)-3,6,8,10,12a-pentahydroxy-1,11,12-trioxo-1,2,3,4,4a,5,5a,6,11,11a,12,12a-dodecahydrotetracene-2-carboximidic acid",n/a,C21H23ClN2O9,482.109208,M+H,+,483.116484,4
483.118316,HMDB0144176,"(12aS)-7-chloro-4-(dimethylamino)-6,8,10,12,12a-pentahydroxy-1,3,11-trioxo-1,2,3,4,4a,5,5a,6,11,11a,12,12a-dodecahydrotetracene-2-carboximidic acid",n/a,C21H23ClN2O9,482.109208,M+H,+,483.116484,4
